Budget,Certificate,Gross,Keywords,Original_Language,Popularity,Production_Companies,Production_Countries,Released_Year,Revenue,Series_Title,date_details
55000000,PG-13,677387716.0,"[""new year's eve"", 'vietnam war', 'vietnam veteran', 'mentally disabled', 'friendship', 'usa president', 'washington dc, usa', 'post-traumatic stress disorder (ptsd)', 'waitress', 'based on novel or book', 'hippie', 'single parent', 'parent child relationship', 'optimism', '1970s', 'drug addiction', 'autism', 'alabama', 'black panther party', 'bus stop', 'family relationships', 'chameleon', 'single mother', 'cynical', 'blunt', 'military', 'anti war protest', '1960s', 'college american football', 'mother son relationship', 'america', 'arrogant', 'cliché', 'disapproving', 'melodramatic', 'feel-good']",en,20.4914,"['Paramount Pictures', 'The Steve Tisch Company', 'Wendy Finerman Productions']",['United States of America'],1994,677387716,Forrest Gump,1994-06-23
1200000,R,38900000.0,"['gold', 'army', 'bounty hunter', 'hitman', 'refugee', 'anti hero', 'moral ambiguity', 'gallows', 'outlaw', 'gun battle', 'shootout', 'spaghetti western', 'graveyard', 'american civil war', 'stolen gold', 'complex', 'hidden gold', 'gun death', 'cemetary', 'confederate gold']",it,10.8446,"['United Artists', 'PEA', 'Arturo González PC', 'Constantin Film']","['United States of America', 'Italy', 'Spain', 'Germany']",1966,38900000,"Il buono, il brutto, il cattivo",1966-12-22
79000000,PG-13,926287400.0,"['mission', 'army', 'based on novel or book', 'elves', 'dwarf', 'magic', 'obsession', 'bravery', 'castle', 'reincarnation', 'sequel', 'battle', 'brutality', 'guide', 'split personality', 'marsh', 'fantasy world', 'wizard', 'journey', 'ring', 'live action and animation', ""hero's journey"", 'high fantasy', 'wraith', 'sword and sorcery', 'trekking', 'evil spell', 'good versus evil', 'trees', 'admiring', 'amused', 'winged creatures']",en,17.7022,"['New Line Cinema', 'WingNut Films', 'The Saul Zaentz Company']","['New Zealand', 'United States of America']",2002,926287400,The Lord of the Rings: The Two Towers,2002-12-18
63000000,R,463517383.0,"['man vs machine', 'martial arts', 'dreams', 'artificial intelligence (a.i.)', 'saving the world', 'hacker', 'self sacrifice', 'virtual reality', 'fight', 'prophecy', 'truth', 'philosophy', 'dystopia', 'insurgence', 'simulated reality ', 'cyberpunk', 'dream world', 'messiah', 'action hero', 'gnosticism', 'allegory of the cave']",en,20.8963,"['Village Roadshow Pictures', 'Groucho II Film Partnership', 'Silver Pictures', 'Warner Bros. Pictures']",['United States of America'],1999,463517383,The Matrix,1999-03-24
25000000,R,46800000.0,"['prison', 'florida', 'new york city', 'based on novel or book', 'gangster', 'mass murder', 'drug trafficking', '1970s', 'irish-american', 'gore', 'biography', 'based on true story', 'murder', 'organized crime', 'mafia', 'brooklyn, new york city', 'crime epic', 'tampa, florida']",en,13.0486,"['Winkler Films', 'Warner Bros. Pictures']",['United States of America'],1990,46800000,Goodfellas,1990-09-09
18000000,PG,538400000.0,"['rebellion', 'android', 'spacecraft', 'asteroid', 'rebel', 'space battle', 'snowstorm', 'space colony', 'swamp', 'space opera', 'nostalgic', 'artic', 'excited', 'star wars']",en,8.119,['Lucasfilm Ltd.'],['United States of America'],1980,538400000,Star Wars: Episode V - The Empire Strikes Back,1980-05-17
3000000,R,108981275.0,"['mentally disabled', 'friendship', 'based on novel or book', 'nurse', 'lunatic asylum', 'insane asylum', 'oregon, usa', 'hospital', 'medication', 'female villain', 'shock treatment', 'depressing', 'informative']",en,9.1384,"['Fantasy Films', 'United Artists']",['United States of America'],1975,108981275,One Flew Over the Cuckoo's Nest,1975-11-19
12500000,PG-13,0.0,"['adultery', 'corruption', 'upper class', 'presidential election', 'musical', 'biography', 'stage show', 'based on play or musical', '18th century', 'broadway musical', 'pistol duel', 'american revolution', 'revolutionary war', 'founding fathers', 'stage musical', 'filmed play', 'live theatre', 'filmed theater', 'musical proshot']",en,7.4777,"['RadicalMedia', '5000 Broadway Productions', 'Nevis Productions', 'Old 320 Sycamore']",['United States of America'],2020,0,Hamilton,2020-07-03
11363000,R,257591776.0,"['dark comedy', 'private lessons', 'birthday party', 'con artist', 'working class', 'infiltration', 'psychological thriller', 'class differences', 'housekeeper', 'tutor', 'family', 'hidden room', 'unemployed', 'hiding in attic', 'domestic worker', 'wealthy family', 'south korea', 'caste violence', 'seoul, south korea']",ko,23.9385,['Barunson E&A'],['South Korea'],2019,257591776,Gisaengchung,2019-05-21
0,U,0.0,"['biography', 'based on book', 'entrepreneur', 'low-cost airline']",ta,3.0641,"['2D Entertainment', 'Sikhya Entertainment']",['India'],2020,0,Soorarai Pottru,2020-11-12
165000000,PG-13,746606706.0,"['rescue', 'future', 'spacecraft', 'race against time', 'artificial intelligence (a.i.)', 'nasa', 'time warp', 'dystopia', 'expedition', 'space travel', 'wormhole', 'famine', 'hibernation', 'black hole', 'quantum mechanics', 'family relationships', 'space', 'robot', 'astronaut', 'scientist', 'single father', 'farmer', 'space station', 'space adventure', 'time paradox', 'cryonics', 'father daughter relationship', '2060s', 'cornfield', 'time manipulation']",en,47.1326,"['Legendary Pictures', 'Syncopy', 'Lynda Obst Productions']","['United Kingdom', 'United States of America']",2014,746606706,Interstellar,2014-10-26
3300000,R,30641770.0,"['street gang', 'photographer', 'gangster', 'rio de janeiro', 'gang war', 'ghetto', 'based on true story', 'coming of age', 'introspective', 'critical', 'tense', 'conceited']",pt,8.8023,"['O2 Filmes', 'VideoFilmes', 'Wild Bunch', 'Hank Levine Film & Music', 'Globo Filmes', 'Lumière']","['Brazil', 'France', 'Germany']",2002,30641770,Cidade de Deus,2002-05-18
19000000,PG,274925095.0,"['witch', 'parent child relationship', 'darkness', 'bath house', 'magic', 'spirit', 'parallel world', 'amusement park', 'youkai', 'japanese mythology', 'anime']",ja,20.4496,['Studio Ghibli'],['Japan'],2001,274925095,Sen to Chihiro no kamikakushi,2001-07-20
70000000,R,481840909.0,"['dying and death', 'epic', 'self sacrifice', 'bravery', 'world war ii', 'duty', 'normandy, france', 'troops', 'waffen ss', 'omaha beach', 'rescue mission', 'cowardice', 'us army', 'based on true story', 'd-day', 'military', 'german soldier', 'military operation', '1940s', 'bloody deaths', 'u.s. army soldier', 'u.s. army ranger', 'massive casualties']",en,12.8677,"['DreamWorks Pictures', 'Paramount Pictures', 'Amblin Entertainment', 'Mutual Film Company']",['United States of America'],1998,481840909,Saving Private Ryan,1998-07-21
60000000,R,286801374.0,"['mentally disabled', 'based on novel or book', 'southern usa', 'psychopath', 'death row', 'jail guard', 'supernatural', 'great depression', 'prison guard', 'jail', 'electric chair', 'torture', 'magic realism', 'healing', 'grim', '1930s', 'abuse of power', 'depressed', 'ambiguous', 'authoritarian', 'cruel', 'hopeful']",en,19.412,"['Castle Rock Entertainment', 'Darkwoods Productions']",['United States of America'],1999,286801374,The Green Mile,1999-12-06
20000000,PG-13,230098753.0,"['dying and death', 'bookshop', ""love of one's life"", 'nazi', 'self sacrifice', 'loss of loved one', 'italy', 'riddle', 'mass murder', 'concentration camp', 'fascism', 'holocaust (shoah)', 'world war ii', 'deportation', 'jew persecution', 'story teller', 'riding a bicycle', 'national socialism', 'dark comedy', 'charade', 'concentration camp prisoner', 'romcom', 'dark', 'war', 'nazi germany', 'admiring']",it,9.1883,"['Mario e Vittorio Cecchi Gori - C.E.I.A.D.', 'Melampo Cinematografica']",['Italy'],1997,230098753,La vita è bella,1997-12-20
33000000,R,327311859.0,"['rage and hate', 'police', 's.w.a.t.', 'sadism', 'self-fulfilling prophecy', 'psychopath', 'detective', 'investigation', 'insomnia', 'murder', 'serial killer', 'religion', 'shootout', 'corpse', 'macabre', 'seven deadly sins', 'depravity', 'neo-noir', 'calm', 'urban gothic', 'ambiguous', 'ominous', 'seven: los siete pecados capitales']",en,21.0209,"['New Line Cinema', 'Juno Pix', 'Arnold Kopelson Productions']",['United States of America'],1995,327311859,Se7en,1995-09-15
19000000,R,272742922.0,"['based on novel or book', 'kidnapping', 'psychopath', 'fbi', 'scientific study', 'murder', 'serial killer', 'psychological thriller', 'brutality', 'cannibal', 'psychiatrist', 'moth', 'virginia', 'neo-noir', 'twisted', 'skinning', 'past history', 'suspenseful', 'foreboding', 'ominous', 'psychological profiling']",en,3.2301,"['Orion Pictures', 'Strong Heart']",['United States of America'],1991,272742922,The Silence of the Lambs,1991-01-30
11000000,PG,775398007.0,"['empire', 'galaxy', 'rebellion', 'android', 'hermit', 'smuggling (contraband)', 'freedom', 'rebel', 'rescue mission', 'space', 'planet', 'desert', 'super power', 'oppression', 'space opera', 'wizard', 'totalitarianism', 'awestruck', 'excited']",en,16.8045,"['Lucasfilm Ltd.', '20th Century Fox']",['United States of America'],1977,775398007,Star Wars,1977-05-01
0,NR,0.0,"['suicide', 'japan', 'samurai', 'asia', 'flashback', 'revenge', 'poverty', 'black and white', 'seppuku', 'ronin', 'jidaigeki', 'edo period', '17th century', 'shogunate', 'bushi', 'bakumatsu', 'distressing', 'excited']",ja,3.6581,['Shochiku'],['Japan'],1962,0,Seppuku,1962-09-15
