Series_Title,Released_Year,Keywords,date_details,Certificate
The Lost Weekend,1945,"['based on novel or book', 'alcohol', 'brother', 'paranoia', 'bartender', 'addiction', 'alcoholism', 'flashback', 'film noir', 'suicidal', 'black and white', 'writer', 'alcoholic', 'bats', 'low self esteem', 'dishonesty', 'hopelessness', 'delirium tremens', 'lies', 'devoted girlfriend']",1945-11-29,NR
The Philadelphia Story,1940,"['journalist', 'philadelphia, pennsylvania', 'strong woman', 'photographer', 'journalism', 'swimming pool', 'remarriage', 'hangover', 'reporter', 'black and white', 'divorcee', 'screwball comedy', 'socialite', 'ex-husband ex-wife relationship', 'high society', 'fiancé fiancée relationship', 'divorced couple', 'family estate', 'inebriated', 'imminent wedding', 'kid sister', 'mischievous', 'tabloid journalism', 'comedy of remarriage', 'romantic']",1940-12-05,NR
His Girl Friday,1940,"['prison', 'journalist', 'suicide', 'journalism', 'based on play or musical', 'wager', 'fugitive', 'black and white', 'screwball comedy', 'corrupt politician', 'newspaper editor', 'insurance agent', 'fiancé fiancée relationship', 'press room', 'political corruption', 'rolltop desk', 'reprieve', 'bride-to-be', 'ex spouses', 'imminent execution', 'convicted murderer', 'comedy of remarriage', 'ambivalent']",1940-01-11,NR
The Adventures of Robin Hood,1938,"['sword', 'repayment', 'robin hood', 'archer', 'richard the lionheart', 'sherwood forest', 'sword fight', 'nottingham', 'historical fiction', 'disguise', 'swashbuckler', 'medieval', 'technicolor', 'based on myths, legends or folklore', 'saxons', 'action hero', '12th century', 'vigilante justice', 'cheerful', 'excited']",1938-05-12,PG
A Night at the Opera,1935,"['opera', 'cross dressing', 'whimsical', 'farcical', 'ridiculous']",1935-11-01,NR
King Kong,1933,"['new york city', 'ship', 'exotic island', 'island', 'unsociability', 'screenplay', 'movie business', 'great depression', 'dinosaur', 'black and white', 'pre-code', 'sea voyage', 'damsel in distress', 'empire state building', 'giant ape', 'animal horror', 'great ape', 'king kong']",1933-03-02,NR
Freaks,1932,"['infidelity', 'dwarf', 'attempted murder', 'clown', 'beauty', 'carnival', 'romance', 'revenge', 'murder', 'black and white', 'newlywed', 'pre-code', 'bigotry', 'disability', 'sideshow', 'told in flashback', 'speech impediment', 'trapeze artist', 'stutterer', 'deformity', 'conjoined twins', 'freak', 'armless', 'midgets', 'midget', 'bareback rider', 'poisoned drink', 'pseudo-hermaphrodite', 'bearded lady', 'microcephalics', 'human skeleton']",1932-01-01,NR
Nosferatu,1922,"['self sacrifice', 'transylvania', 'germany', 'loss of loved one', 'vampire', 'shapeshifting', 'coffin', 'supernatural', 'castle', 'ghost ship', 'black and white', 'silent film', 'seashore', 'vampire bat', 'real estate agent', 'ghoul', 'psychotronic', 'locket', 'sailing ship', 'corpse in coffin', 'nosferatu', 'real estate', 'black death', 'expressionism', 'mountain country', 'sleepwalking', 'romania', 'rat', 'german expressionism', 'dracula']",1922-02-16,NR
The Gentlemen,2019,"['london, england', 'robbery', 'businessman', 'gangster', 'dark comedy', 'betrayal', 'marijuana', 'business', 'jewish american', 'gunfight', 'brutality', 'american abroad', 'irishman', 'scheme', 'playful', 'casual']",2019-12-03,R
Raazi,2018,"['based on novel or book', 'female spy', 'india pakistan war']",2018-05-10,
Sound of Metal,2019,"['deaf', 'missouri', 'drums', 'heavy metal', 'addiction', 'sign languages', 'hearing impaired']",2019-09-06,R
Forushande,2016,"['rape', 'trauma', 'assault', 'theater play', 'teheran (tehran), iran', 'attack', 'iran', 'rape and revenge', 'death of a salesman']",2016-05-21,PG-13
Dunkirk,2017,"['army', 'beach', 'france', 'allies', 'military officer', 'world war ii', 'evacuation', 'pilot', 'british army', 'rescue mission', 'europe', 'based on true story', 'royal navy', 'survival', 'historical fiction', 'soldier', 'private', 'military', 'dunkirk', '1940s', 'royal air force', 'raf', 'dreary', 'suspenseful', 'tense', 'intense', 'depressing', 'awestruck', 'compassionate', 'foreboding']",2017-07-13,PG-13
Perfetti sconosciuti,2016,"['friendship', 'jealousy', 'husband wife relationship', 'italian', 'italy', 'truth', 'confidence', 'honesty', 'love', 'love affair', 'trust', 'game', 'childhood friends', 'love fiction']",2016-02-02,G
Hidden Figures,2016,"['nasa', 'mathematics', 'sexism', 'biography', 'racial segregation', 'racism', 'historical fiction', 'scientist', 'space race', 'discrimination', '1960s', 'space program', 'african american history', 'apologetic', 'arrogant', 'authoritarian', 'callous', 'condescending', 'disrespectful', 'earnest', 'frustrated']",2016-12-01,PG
Paddington 2,2017,"['london, england', 'based on novel or book', 'sequel', 'bear', 'train', ""based on children's book"", 'animals', 'aging actor', 'live action and animation']",2017-11-05,PG
Udta Punjab,2016,"['police', 'drug addiction', 'singer', 'doctor', 'drugs', 'punjab', 'rockstar']",2016-06-17,R
Kubo and the Two Strings,2016,"['japan', 'samurai', 'magic', 'forgiveness', 'stop motion', 'storytelling', 'origami', 'feudal japan', 'mother son relationship']",2016-08-13,PG
M.S. Dhoni: The Untold Story,2016,"['sports', 'biography', 'cricket']",2016-09-30,
Manchester by the Sea,2016,"['funeral', 'boston, massachusetts', 'brother', 'boat', 'sadness', 'massachusetts', 'loss', 'dysfunctional family', 'grief', 'hospital', 'house fire', 'death', 'nephew', 'ex-wife', 'nonlinear timeline', 'mental health', 'ex-husband ex-wife relationship', 'legal guardian', 'dysfunctional life', 'depressed', 'tragic']",2016-01-23,R
Under sandet,2015,"['beach', 'prisoner of war', 'post world war ii', 'land mine', '1940s', 'minefield', 'sudden death', 'boy soldier', 'meager rations']",2015-09-10,R
Rogue One,2016,"['rebellion', 'spacecraft', 'rebel', 'space battle', 'space travel', 'prequel', 'female protagonist', 'space western', 'suicide mission', 'robot', 'spin off', 'space opera', 'alien language', 'against the odds', 'blind man']",2016-12-10,PG-13
Captain America: Civil War,2016,"['superhero', 'based on comic', 'sequel', 'super soldier', 'aftercreditsstinger', 'duringcreditsstinger', 'marvel cinematic universe (mcu)', 'angry', 'superhero teamup', 'bitter']",2016-04-12,PG-13
The Hateful Eight,2015,"['bounty hunter', 'wyoming, usa', 'narration', 'mountain', 'hangman', 'whodunit', 'stagecoach', 'blizzard', 'post civil war', '19th century', 'dramatic', 'male rape', 'intense']",2015-12-07,R
Little Women,2019,"['new york city', 'sibling relationship', 'based on novel or book', 'massachusetts', 'affectation', 'coming of age', 'remake', 'period drama', 'american civil war', 'christmas', '19th century', 'sister sister relationship', 'female writer', 'clinical', 'sisters', 'dignified']",2019-12-07,PG
Loving Vincent,2017,"['artist', 'investigation', 'letter', 'painter', 'bullying', 'adult animation', 'struggling artist', '19th century', 'mysterious death', 'controversial artist', 'vincent van gogh']",2017-06-12,PG-13
Pride,2014,"['wales', 'london, england', 'based on true story', 'lgbt', '1980s', 'activism', 'miners strike', 'gay theme']",2014-05-23,R
Le passé,2013,"['depression', 'suicide', 'coma', 'paris, france', 'childhood trauma', 'laundromat', 'family secrets', 'dysfunctional family', 'divorce']",2013-05-17,PG-13
La grande bellezza,2013,"['journalist', 'based on novel or book', 'rome, italy', 'alcohol', 'birthday', 'vatican (holy see)', 'nightclub', 'giraffe', 'artist', 'beauty', 'satire', 'aging', 'love', 'church', 'art', 'drugs', 'flamingo', 'escritor']",2013-05-21,15
The Lunchbox,2013,"['housewife', 'mumbai (bombay), india', 'food', 'tiffin', 'gastronomia', 'indian cuisine']",2013-09-20,G
Vicky Donor,2012,['sperm donor'],2012-04-20,
Big Hero 6,2014,"['friendship', 'martial arts', 'hero', 'sibling relationship', 'san francisco, california', 'superhero', 'talent', 'cartoon', 'villain', 'based on comic', 'coming of age', 'revenge', 'tokyo, japan', 'best friend', 'another dimension', 'robot', 'east asian lead', 'boy genius', 'super villain', 'aftercreditsstinger', 'villain arrested', 'supervillain', 'moral dilemma', 'teen superhero', 'dead brother', 'hopeful']",2014-10-23,PG
About Time,2013,"['london, england', 'parent child relationship', 'time travel', 'family secrets', 'cornwall, england', 'family', 'second chance', 'thoughtful', 'time-manipulation', 'reflective', 'playful', 'introspective', 'intimate', 'sentimental', 'whimsical', 'adoring', 'appreciative', 'celebratory', 'comforting', 'compassionate', 'exuberant', 'hopeful', 'viajes en el tiempo', 'viaje en el tiempo']",2013-06-27,R
English Vinglish,2012,"['classroom', 'housewife', 'speech', 'foreign language', 'wedding', 'xenophobia', 'manhattan, new york city', 'social differences', 'woman director']",2012-09-14,PG
Kaze tachinu,2013,"['japan', 'airplane', 'flying', 'world war ii', 'earthquake', 'biography', 'great depression', 'pacific war', 'love', 'adult animation', 'anime', 'taisho period']",2013-07-20,PG-13
Toy Story 4,2019,"['friendship', 'cartoon', 'rescue mission', 'sequel', 'anti villain', 'buddy', 'cowboy', 'duringcreditsstinger', 'toy comes to life', 'dedication', 'awestruck']",2019-06-11,G
La migliore offerta,2013,"['painting', 'auctioneer', 'confidence game', 'fine art', 'honey pot']",2013-01-01,R
Moonrise Kingdom,2012,"['camping', 'hurricane', 'pen pals', 'coming of age', 'camp', 'orphan', 'new england', 'first love', 'eye patch', 'search party', 'devastation', 'handkerchief', 'child smoking', 'small town sheriff', 'the color red', 'boy scouts', 'sand dancing', 'meet cute', 'boy scouts leader', 'pipe smoking', 'duringcreditsstinger', '1960s']",2012-05-16,PG-13
How to Train Your Dragon 2,2014,"['rescue', 'husband wife relationship', 'sacrifice', 'parent child relationship', 'loss of loved one', 'affectation', 'villain', 'melancholy', 'vikings (norsemen)', 'sequel', 'dragon', 'mourning', 'nostalgic', 'warrior', 'mysterious', 'philosophical', 'reflective', 'mother son relationship', 'loving', 'dreary', 'inspirational', 'wistful', 'intimate', 'understated', 'dramatic', 'sentimental', 'witty', 'hilarious', 'intense', 'sinister', 'romantic', 'whimsical', 'admiring', 'adoring', 'amused', 'apathetic', 'appreciative', 'awestruck', 'bewildered', 'celebratory', 'comforting', 'commanding', 'compassionate', 'empathetic', 'enthusiastic', 'euphoric', 'excited', 'exhilarated', 'familiar', 'optimistic', 'sincere', 'sympathetic', 'tragic', 'vibrant']",2014-05-16,PG
The Big Short,2015,"['based on novel or book', 'bank', 'fraud', 'wall street', 'biography', 'based on true story', 'finances', 'animated scene', 'historical fiction', 'loan', 'financial crisis', 'real estate', 'mortgage', 'factual']",2015-11-12,R
Kokuhaku,2010,"['japan', 'based on novel or book', 'child murder', 'teacher', 'murder', 'middle school', 'junior high school', 'murder mystery', 'female teacher', 'depressed', 'grieving mother', 'japanese junior high schooler']",2010-06-04,15
Ang-ma-reul bo-at-da,2010,"['psychopath', 'cemetery', 'police chief', 'secret agent', 'revenge', 'murder', 'serial killer', 'mercilessness', 'severed head', 'brutality', 'cannibal', 'tracking device', 'south korea', 'sadistic killer', 'admiring']",2010-08-12,R
The Girl with the Dragon Tattoo,2011,"['journalist', 'island', 'rape', 'hacker', 'based on novel or book', 'nazi', 'journalism', 'sweden', 'investigation', 'punk rock', 'scandinavia', 'stockholm, sweden', 'remake', 'antisocial personality disorder', 'disappearance', 'serial killer', 'hacking', 'sadist', 'biting', 'bible quote', 'dead cat', 'millennium', 'based on movie', 'aggressive', 'abuse', 'cold case', 'locked room mystery', 'dreary', 'missing girl', 'tense', 'cruel']",2011-12-14,R
Captain Phillips,2013,"['ship', 'africa', 'fisherman', 'hijacking', 'somalia', 'poverty', 'pirate', 'terrorism', 'commando', 'hijack', 'cargo ship', 'ship hijacking', 'somali', 'set in africa']",2013-09-27,PG-13
Ajeossi,2010,"['friendship', 'martial arts', 'assassin', 'hero', 'hitman', 'child labour', 'human trafficking', 'protection', 'revenge', 'tragic hero', 'disappearance', 'drugs', 'detached', 'neo-noir', 'organ trafficking', 'sentimental', 'ambiguous', 'earnest', 'straightforward']",2010-08-04,R
Straight Outta Compton,2015,"['drug dealer', 'police brutality', 'husband wife relationship', 'rap music', 'hip-hop', 'sibling relationship', 'aids', 'parent child relationship', 'gangster', 'rapper', 'ghetto', 'nightclub', 'assault', 'freedom of speech', 'protest', 'vandalism', 'recording contract', 'rags to riches', 'based on true story', 'terminal illness', 'road trip', 'feud', 'marijuana', 'gang', 'police chase', 'hospital', 'racism', 'los angeles, california', 'detroit, michigan', 'racial slur', 'wrongful arrest', 'death of brother', 'milwaukee wisconsin', 'police raid', 'police harassment', 'duringcreditsstinger', 'record company', 'music tour', '1980s', 'intimidation by police', 'los angeles riots', 'compton, california']",2015-08-11,R
Madeo,2009,"['small town', 'mother', 'rice', 'golf', 'murder', 'teenage girl', 'misunderstanding', 'cell phone', 'drunk', 'disability', 'needle', 'drunkenness', 'acupuncture', 'mental retardation', 'mother son relationship', 'human mystery']",2009-05-16,R
Chugyeokja,2008,"['prostitute', 'kidnapping', 'psychopath', 'pimp', 'investigation', 'gore', 'rope', 'based on true story', 'flu', 'serial killer', 'psychological thriller', 'cell phone', 'dog', 'tied up', 'meat hook', 'chisel', 'seoul, south korea']",2008-02-14,PG-13
The Hobbit: The Desolation of Smaug,2013,"['gold', 'lake', 'based on novel or book', 'elves', 'dwarf', 'shapeshifting', 'mountain', 'giant spider', 'sequel', 'bear', 'troll', 'dragon', 'turns into animal', 'barrel', 'fantasy world', 'wizard', 'journey', 'ring', 'invisibility', 'captured', 'live action and animation', 'high fantasy', 'sword and sorcery', 'trekking', 'good versus evil', 'grand', 'defiant']",2013-12-02,PG-13
Das weiße Band - Eine deutsche Kindergeschichte,2009,"['child abuse', 'authority', 'pastor', 'nanny', 'northern germany', 'punishment', 'puritan', 'incest', 'tailor', 'school teacher', 'future war', 'suppression', 'shame', 'small village', 'land baron', 'village people', '1910s', 'east elbia', 'landowner', 'patronage', 'rural setting', 'villagers', 'fear of the unknown']",2009-05-21,R
Män som hatar kvinnor,2009,"['journalist', 'island', 'bondage', 'rape', 'strong woman', 'hacker', 'based on novel or book', 'nazi', 'blow job', 'antisocial personality disorder', 'female protagonist', 'whodunit', 'newspaper man', 'millennium', 'female empowerment', 'locked room mystery', 'girl with piercings', 'woman murder']",2009-02-27,R
The Trial of the Chicago 7,2020,"['chicago, illinois', 'right and justice', 'political activism', 'black panther party', 'based on true story', 'black activist', 'counter-culture', 'historical fiction', 'activist', '1960s', 'courtroom drama']",2020-09-25,R
Druk,2020,"['friendship', 'experiment', 'copenhagen, denmark', 'alcohol', 'melancholy', 'alcoholism', 'family relationships', 'teacher', 'drunk', 'teacher student relationship', 'intoxication', 'social pressure', 'pressure to perform', 'wistful', 'hilarious']",2020-09-12,NR
The Fighter,2010,"['sports', 'irish-american', 'boxer', 'biography', 'family business ', 'dysfunctional family', 'family conflict', 'hometown', 'boxing trainer', 'crack addict', 'lowell massachusetts', 'jumping rope', 'shadow boxing', 'boxing', 'boxer hero', 'professional athlete', 'black sheep', 'devoted girlfriend', 'local hero']",2010-12-06,R
Taken,2008,"['rescue', 'paris, france', 'kidnapping', 'prostitution', 'sex trafficking', 'albanian', 'missing daughter', 'ex special forces', 'ex-cia agent', 'abduction', 'search for daughter', 'army veteran']",2008-02-18,PG-13
The Boy in the Striped Pyjamas,2008,"['based on novel or book', 'nazi', 'nationalism', 'concentration camp', 'world war ii', 'gas chamber', 'concentration camp prisoner', 'children in wartime', 'anxious']",2008-05-07,PG-13
Once,2007,[],2007-01-01,
The Hobbit: An Unexpected Journey,2012,"['based on novel or book', 'elves', 'dwarf', 'magic', 'horseback riding', 'sword', 'burglar', 'legend', 'riddle', 'mountain', 'contract', 'travel', 'troll', 'creature', 'thunderstorm', 'fantasy world', 'wizard', 'epic battle', 'lost ring', 'journey', 'ring', 'tunnel', 'underground lake', 'buried treasure', 'invisibility', 'quest', 'live action and animation', 'high fantasy', 'sword and sorcery', 'trekking', 'goblins', 'good versus evil', 'fantasy creature', 'amused', 'excited']",2012-11-28,PG-13
Auf der anderen Seite,2007,"['prison', 'dying and death', 'mother', 'funeral', 'germany', 'loss of loved one', 'release from prison', 'homeland', ""women's prison"", 'turkey', 'stepmother', 'bremen', 'tragic']",2007-05-23,15
Atonement,2007,"['new love', 'sibling relationship', 'based on novel or book', 'wind', 'nurse', 'loss of loved one', 'flirt', 'world war ii', 'innocence', 'lie', 'letter', 'twist', 'redemption', 'mistake', 'author', 'summer', 'mourning', 'dunkirk', 'london blitz', 'sepsis', 'reminiscent', 'sentimental']",2007-02-27,R
Drive,2011,"['robbery', 'car mechanic', 'stuntman', 'beaten to death', 'revenge', 'organized crime', 'neighbor', 'police chase', 'los angeles, california', 'brutality', 'jacket', 'scorpion', 'toothpick', 'getaway driver', 'crime lord', 'stunt driver', 'existentialism', 'detached', 'neo-noir', 'vindictive', 'hammer', 'bold']",2011-05-20,R
American Gangster,2007,"['new york city', 'vietnam', 'drug smuggling', 'society', 'gangster', 'drug trafficking', 'heroin', 'junkie', 'ghetto', 'nightclub', 'ambition', 'rise and fall', 'cop', 'organized crime', 'drug dealing', 'police corruption', 'wedding', 'police detective', 'family', 'surveillance', 'bribery', 'law enforcement', 'aftercreditsstinger', 'dishonesty', '1960s', 'provocative', 'factual', 'violence', 'suspenseful', 'intense', 'brisk']",2007-10-19,R
Avatar,2009,"['paraplegic', 'attachment to nature', 'culture clash', 'indigenous', 'space travel', 'space colony', 'tribe', 'alien planet', 'distant future', 'marine', 'battle', 'love affair', 'scientist', 'nature', 'native peoples', 'power relations', 'curious', 'tribal customs', 'tribal people', 'tribal chief', 'deity', 'cryonics', 'spiritual community', '22nd century', 'save the planet', 'racial discrimination', 'soldiers', 'loving', 'stereoscopic film', 'compassionate']",2009-12-10,PG-13
Mr. Nobody,2009,"['time travel', 'surrealism', 'time', 'choice', 'free will', 'multiple storylines', 'curious', 'shocking', 'complex', 'loving', '2090s', 'depressing', 'ambiguous', 'irreversible process', 'entropy']",2009-09-11,R
Apocalypto,2006,"['loss of loved one', 'maya civilization', 'village', 'solar eclipse', 'slavery', 'tribe', 'native american', 'forest', 'human sacrifice', 'central america', 'ancient civilization', '16th century', 'maya temple', 'ancient language film']",2006-12-07,R
Little Miss Sunshine,2006,"['california', 'husband wife relationship', 'sibling relationship', 'literature professor', ""family's daily life"", 'highway', 'beauty contest', 'beauty queen contest', 'dysfunctional family', 'road trip', 'family relationships', 'family holiday', 'road movie', 'woman director']",2006-01-20,R
Hot Fuzz,2007,"['countryside', 'police', 'village', 'arrest', 'parody', 'partner', 'murder', 'rural area', 'conspiracy', 'serial killer', 'gunfight', 'police force', 'buddy cop', 'accident']",2007-02-13,R
The Curious Case of Benjamin Button,2008,"['new york city', 'navy', 'funeral', 'diary', 'tea', 'travel', 'hospital', 'historical fiction', 'period drama', 'magic realism', 'based on short story', 'fictional biography', 'reverse aging', 'introspective', 'serene', 'intense']",2008-12-08,PG-13
Veer-Zaara,2004,"['prison', 'class society', ""love of one's life"", 'pilot', 'musical', 'pakistan', 'india', 'kashmir conflict']",2004-11-12,PG
Adams æbler,2005,"['neo-nazism', 'faith', 'cynic', 'suppressed past', 'pastor', 'lie', 'dark comedy', 'satire', 'parish', 'god', 'religion', 'church', 'alcoholic', 'apple', 'religious humour']",2005-04-15,R
Pride & Prejudice,2005,"['based on novel or book', 'england', 'bachelor', 'family relationships', 'suitor', 'prejudice', 'period drama', 'pride', '18th century', 'opposites attract', 'gentleman', 'georgian or regency era', '1790s', 'sisters']",2005-09-11,PG
The World's Fastest Indian,2005,"['utah', 'new zealand', ""life's dream"", 'motor sport', 'motorcycle', 'trailer', 'mortgage', '1960s', 'speed records', 'audacious', 'celebratory', 'enthusiastic']",2005-10-12,PG-13
Tôkyô goddofâzâzu,2003,"['baby', 'drag queen', 'holiday', 'tokyo, japan', 'alcoholic', 'adult animation', 'christmas', 'anime']",2003-08-30,PG-13
Serenity,2005,"['spacecraft', 'martial arts', 'telepathy', 'dystopia', 'fugitive', 'space western', 'planet', 'cannibal', 'space opera', 'operative', 'ex soldier', 'firefly', 'browncoat', 'awestruck']",2005-08-22,PG-13
Walk the Line,2005,"['prison', 'adultery', 'concert', 'music record', 'country music', 'guitar', 'germany', 'loss of loved one', 'marriage', 'biography', 'single', 'biting', 'accident', '1960s', 'apathetic', 'condescending', 'cruel']",2005-09-04,PG-13
Ondskan,2003,"['based on novel or book', 'boarding school', 'private school', 'bullying', 'stepfather', 'spanking', 'domestic abuse', 'discipline', 'oppression', 'corporal punishment', ""boys' boarding school"", 'abusive stepfather']",2003-05-16,NR
The Notebook,2004,"['secret love', 'based on novel or book', ""love of one's life"", 'fight', 'poem', 'river', 'sadness', 'class', 'dementia', 'melancholy', 'tears', 'candle', 'mailbox', ""valentine's day"", 'romantic']",2004-05-20,PG-13
Diarios de motocicleta,2004,"['based on novel or book', 'peru', 'revolution', 'asthma', 'che guevara', 'cuban revolution', 'chile', 'argentina', 'motorcycle', 'guajira peninsula', 'leper colony', 'biochemist', 'road movie']",2004-01-15,R
Lilja 4-ever,2002,"['escape', 'underground', 'despair', 'sweden', 'nightclub', 'human trafficking', 'based on true story', 'poverty', 'prostitution', 'sex trafficking', 'sex slavery', 'downward spiral', 'complex', 'teenage protagonist', 'teenager', 'intense', 'depressing', 'tragic']",2002-08-23,R
Les triplettes de Belleville,2003,"['france', 'kidnapping', 'biker', 'tour de france', 'mafia', 'dog', 'triplet', 'band singer', 'silent film', 'adult animation', 'old woman']",2003-05-18,PG-13
Gongdong gyeongbi guyeok JSA,2000,"['border', 'korean war (1950-53)', 'soldier', 'united nations', 'dmz', 'korean army', 'inter-korean relations']",2000-09-09,12
The Count of Monte Cristo,2002,"['treasure', 'based on novel or book', 'loss of loved one', 'marseille, france', 'female lover', 'ex-lover', 'napoleon bonaparte', 'prison escape', 'sword fight', 'torture', 'period drama', 'historical', 'swashbuckler', 'betrayal by friend', '19th century', 'awestruck']",2002-01-23,PG-13
Waking Life,2001,"['dreams', 'philosophy', 'parallel world', 'existence', 'adult animation']",2001-01-23,R
Remember the Titans,2000,"['high school', 'friendship', 'sports', 'ku klux klan', 'politics', 'american football', '1970s', 'trainer', 'race politics', 'civil rights', 'apartheid', 'racial segregation', 'based on true story', 'racist', 'high school sports', 'coaction', 'racial tension', 'xenophobia', 'virginia', 'head coach']",2000-09-23,PG
Wo hu cang long,2000,"['martial arts', 'kung fu', 'based on novel or book', 'flying', 'taskmaster', 'sword', 'tiger', 'villainess', 'mountain', 'comb', 'fistfight', 'sword fight', 'thief', 'revenge', 'theft', 'historical', 'female martial artist', '18th century', 'wuxia', 'warrior', 'bamboo', 'tavern fight', 'action hero', 'qing dynasty', 'whimsical']",2000-05-18,PG-13
Todo sobre mi madre,1999,"['drug abuse', 'barcelona, spain', 'transvestism', 'transplantation', 'madrid, spain', 'transsexuality', 'birthday', 'autograph', 'friends', 'lgbt', 'melodrama']",1999-04-08,R
Cast Away,2000,"['exotic island', 'suicide attempt', 'volleyball', 'survival', 'loneliness', 'airplane crash', 'deserted island', 'tropical island', 'intense', 'bold', 'melodramatic']",2000-12-07,PG-13
The Boondock Saints,1999,"['bratva (russian mafia)', 'boston, massachusetts', 'detective', 'irish-american', 'prologue', 'shootout', 'police station', 'pager', 'mob boss', 'duringcreditsstinger', 'vigilantism', 'angry', 'complex', 'brother brother relationship', 'public execution', 'hilarious']",1999-01-22,R
The Insider,1999,"['newspaper', 'research', 'politics', 'spy', 'journalism', 'interview', 'tobacco', 'insider', 'conspiracy theory', 'reporter', 'whistleblower', 'tobacco industry', 'legal drama', 'legal thriller', 'intimate', 'suspenseful']",1999-10-28,R
October Sky,1999,"['small town', 'based on novel or book', 'parent child relationship', 'satellite', 'biography', 'rocket', 'west virginia', 'mining accident', 'teacher', 'coal mine', '1950s', 'sputnik', 'rocketry']",1999-02-19,PG
Shrek,2001,"['princess', 'based on novel or book', 'magic', 'fairy tale', 'donkey', 'liberation', 'lordship', 'prince', 'castle', 'villain', 'robin hood', 'enchantment', 'swamp', 'parody', 'anthropomorphism', 'dragon', 'woman director', 'ogre', 'cartoon donkey', 'hilarious']",2001-04-22,PG
Titanic,1997,"['epic', 'ship', 'drowning', 'panic', 'shipwreck', 'atlantic ocean', 'evacuation', 'iceberg', 'titanic', 'forbidden love', 'ocean liner', 'based on true story', 'rich woman poor man', 'romance', 'love', 'tragedy', 'tragic love', 'disaster', 'historical fiction', 'class differences', 'love affair', 'historical event', 'lifeboat', 'star crossed lovers', 'sinking ship', 'steerage', 'rich snob', 'tragic romance', 'disaster movie', '1910s', 'sunken ship']",1997-11-01,PG-13
Hana-bi,1997,"['sea', 'farewell', 'beach', 'gambling', 'yakuza', 'loss']",1997-09-03,R
Gattaca,1997,"['genetics', 'cheating', 'paraplegic', 'suicide attempt', 'dystopia', 'dna', 'new identity', 'investigation', 'heart disease', 'spaceman', 'fraud', 'space travel', 'fake identity', 'in vitro fertilisation', 'biotechnology', 'space mission', 'space', 'astronaut', 'swimming', 'exercise', 'eugenics', 'murder investigation', 'discrimination', 'brother brother relationship', 'authoritarian']",1997-09-07,PG-13
The Game,1997,"['suicide', 'sibling relationship', 'san francisco, california', 'birthday', 'gun', 'key', 'manipulation', 'restaurant', 'danger of life', 'birthday party', 'puzzle', 'game', 'millionaire', 'surprising', 'trapped in an elevator', 'birthday present', 'investment banker']",1997-09-03,R
Breaking the Waves,1996,"['underdog', 'dying and death', 'prostitute', 'paraplegic', 'parent child relationship', 'faith', 'scotland', 'society', 'tradition', 'prayer', 'excommunication', 'authority', '1970s', 'coercion', 'god', 'priest', 'church', 'polyamory', 'disabled', 'oil rig\xa0', 'oil platform', 'scottish highlands']",1996-05-13,R
Ed Wood,1994,"['individual', 'taxi', 'fortune teller', 'transsexuality', 'transvestite', 'movie business', 'drug addiction', 'boxer', 'oddball', 'celebrity', 'morphine', 'los angeles, california', 'black and white', 'suburb', 'theremin', 'handgun', 'trick or treating', '1950s']",1994-09-24,R
What's Eating Gilbert Grape,1993,"['mentally disabled', 'sibling relationship', 'based on novel or book', 'widow', 'iowa', 'dysfunctional family', 'obesity', 'single mother', 'grocery store', 'mentally handicapped child']",1993-10-01,PG-13
Tombstone,1993,"['right and justice', 'saloon', 'arizona', 'retirement', 'historical figure', 'wyatt earp', 'doc holliday', 'gambler', 'tuberculosis', 'gunfighter', 'tombstone arizona', '19th century', 'ok corral']",1993-12-25,R
The Sandlot,1993,"['sports', 'baseball', 'tree house', 'dog', 'fourth of july', 'san fernando valley', 'fence', '1960s', 'mastiff', ""kids' sports team""]",1993-04-07,PG
The Remains of the Day,1993,"['newspaper', 'london, england', 'nazi', 'england', 'butler', 'country house', 'loyalty', 'britain', 'housekeeper', 'employer', 'told in flashback', '1950s', '1930s']",1993-11-05,PG
Naked,1993,"['london, england', 'rape', 'nihilism', 'sadism', 'narcissism', 'mental breakdown', 'alienation', 'sexual violence', 'loneliness', 'urban', 'drifter', 'cruelty', 'desolate', 'humiliation', 'stranger', 'character study', 'misogynist', 'voyeurism', 'existentialism', 'manchester', 'self hatred', 'bitter']",1993-05-14,NR
The Fugitive,1993,"['chicago, illinois', 'escape', 'chase', 'doomed man', 'surgeon', 'death sentence', 'u.s. marshal', 'flashback', 'remake', 'betrayal', 'fugitive', 'on the run', 'conspiracy', 'police corruption', 'doctor', 'home invasion', 'disguise', 'one armed man', 'framed for murder', 'shocking', 'action hero', 'manhunt', 'suspicious', 'suspenseful', 'dubious']",1993-07-29,PG-13
A Bronx Tale,1993,"['italian american', 'gambling', 'funeral', 'italian', 'parent child relationship', 'gangster', 'loyalty', 'molotow cocktail', 'gang leader', 'nostalgia', 'game of dice', 'bus driver', 'mafia', 'best friend', 'witness to murder', 'hoodlum', 'xenophobia', 'bronx, new york city', 'father figure', '1960s', 'confession booth']",1993-09-09,R
Batman: Mask of the Phantasm,1993,"['secret identity', 'superhero', 'cartoon', 'based on comic', 'organized crime', 'based on cartoon', 'urban setting', 'super power', 'adult animation', 'super villain', 'neo-noir', 'action noir', 'vigilante justice', 'good versus evil', 'dc animated universe (dcau)']",1993-12-25,PG
