Series_Title,Released_Year,Keywords,date_details,Certificate
The Silence of the Lambs,1991,"['based on novel or book', 'kidnapping', 'psychopath', 'fbi', 'scientific study', 'murder', 'serial killer', 'psychological thriller', 'brutality', 'cannibal', 'psychiatrist', 'moth', 'virginia', 'neo-noir', 'twisted', 'skinning', 'past history', 'suspenseful', 'foreboding', 'ominous', 'psychological profiling']",1991-01-30,R
Star Wars,1977,"['empire', 'galaxy', 'rebellion', 'android', 'hermit', 'smuggling (contraband)', 'freedom', 'rebel', 'rescue mission', 'space', 'planet', 'desert', 'super power', 'oppression', 'space opera', 'wizard', 'totalitarianism', 'awestruck', 'excited']",1977-05-01,PG
Seppuku,1962,"['suicide', 'japan', 'samurai', 'asia', 'flashback', 'revenge', 'poverty', 'black and white', 'seppuku', 'ronin', 'jidaigeki', 'edo period', '17th century', 'shogunate', 'bushi', 'bakumatsu', 'distressing', 'excited']",1962-09-15,NR
Shichinin no samurai,1954,"['epic', 'martial arts', 'japan', 'samurai', 'sword', 'peasant', 'village', 'looting', 'rice', 'fencing', 'moral ambiguity', 'black and white', 'battle', 'bandit', 'practice', 'jidaigeki', 'domineering', '16th century', 'plunder', 'bushi', 'awestruck']",1954-04-26,NR
It's a Wonderful Life,1946,"['small town', 'angel', 'suicide attempt', 'holiday', 'bank', 'melancholy', 'great depression', 'family business ', 'black and white', 'nervous breakdown', 'old house', 'newlywed', 'magic realism', 'told in flashback', 'alternative reality', 'guardian angel', 'high school dance', 'christmas', 'earnest', 'hopeful', 'sincere', 'xmas eve']",1946-12-20,PG
Joker,2019,"['dreams', 'street gang', 'society', 'psychopath', 'clown', 'villain', 'based on comic', 'murder', 'psychological thriller', 'criminal mastermind', 'cynical', 'mental illness', 'anarchy', 'character study', 'clown makeup', 'prophetic', 'subway train', 'social realism', 'supervillain', 'tv host', '1980s', 'mother son relationship', 'origin story', 'falling into madness']",2019-08-31,R
Whiplash,2014,"['new york city', 'concert', 'jazz', 'musician', 'obsession', 'music teacher', 'conservatory', 'drums', 'montage', 'blunt', 'perfectionist', 'perfection', 'public humiliation', 'jazz band', 'young adult', 'music school', 'based on short', 'drummer']",2014-01-16,R
The Intouchables,2011,"['friendship', 'male friendship', 'based on true story', 'masseuse', 'aristocrat', 'paragliding', 'interracial friendship', 'unlikely friendship', 'duringcreditsstinger', 'quadriplegic', 'quadriplegia', 'feel good', 'intouchables']",2011-09-23,R
The Prestige,2006,"['dying and death', 'suicide', 'class society', 'london, england', 'magic', 'competition', 'obsession', 'hostility', 'class', 'diary', 'twist', 'tricks', 'illusion', 'rivalry', 'partner', 'steampunk', 'cruelty', 'hanging', 'jail cell', '19th century', 'nikola tesla', 'magician', 'tesla coil', 'bittersweet', 'secret', 'absurd', 'mind-blowing']",2006-10-17,PG-13
The Departed,2006,"['police', 'undercover', 'boston, massachusetts', 'gangster', 'irish-american', 'crime boss', 'friends', 'remake', 'mobster', 'organized crime', 'mafia', 'undercover cop', 'mole', 'state police', 'police training', 'realtor', 'dreary', 'frightened']",2006-09-26,R
The Pianist,2002,"['concert', 'nazi', 'resistance', 'warsaw ghetto', 'polish resistance', 'homeland', 'holocaust (shoah)', 'hunger', 'world war ii', 'prisoner of war', 'ghetto', 'deportation', 'jew persecution', 'liberation', 'biography', 'survival', 'based on memoir or autobiography', 'pianist', 'poland', 'angry', 'complex', 'compassionate']",2002-05-24,R
Gladiator,2000,"['epic', 'gladiator', 'rome, italy', 'arena', 'senate', 'roman empire', 'parent child relationship', 'emperor', 'slavery', 'ancient rome', 'revenge', 'battlefield', 'slave auction', 'historical fiction', 'ancient world', 'combat', 'chariot', 'philosopher', 'barbarian horde', '2nd century', 'successor', 'commodus', 'maximus', 'serene', 'defiant', 'gladiador']",2000-05-01,R
